temperature,wind,rain,month,year
-5.68,4.01,57.15,1,1998
-10.38,4.76,52.88,2,1998
-6.95,3.69,26.18,3,1998
0.02,3.38,13.60,4,1998
7.30,3.75,47.65,5,1998
12.63,3.97,98.13,6,1998
15.98,3.51,109.05,7,1998
12.63,3.31,85.53,8,1998
9.55,3.96,38.93,9,1998
4.08,4.59,93.48,10,1998
-5.15,4.26,25.00,11,1998
-6.25,4.61,48.60,12,1998
-11.08,3.75,43.60,1,1999
-9.83,3.94,51.95,2,1999
-3.65,4.03,24.68,3,1999
3.50,3.71,32.15,4,1999
6.00,3.58,18.78,5,1999
16.68,3.54,38.53,6,1999
16.78,4.08,57.33,7,1999
12.78,3.51,40.75,8,1999
10.83,3.65,30.33,9,1999
5.03,4.56,73.38,10,1999
0.28,5.69,42.68,11,1999
-7.18,4.02,59.03,12,1999
-6.28,4.93,44.38,1,2000
-5.53,4.24,37.13,2,2000
-3.43,5.04,38.28,3,2000
3.15,3.74,47.10,4,2000
9.00,4.46,34.70,5,2000
13.35,4.30,77.00,6,2000
16.40,3.59,73.63,7,2000
13.98,3.18,73.33,8,2000
8.63,3.81,19.10,9,2000
7.23,4.76,66.48,10,2000
1.90,4.30,81.25,11,2000
-2.90,3.71,55.43,12,2000
-3.95,3.92,33.60,1,2001
-11.10,3.94,47.60,2,2001
-7.60,3.28,25.33,3,2001
2.83,3.48,66.00,4,2001
7.23,4.14,47.60,5,2001
14.00,3.44,59.33,6,2001
17.98,4.13,78.48,7,2001
14.25,3.86,63.75,8,2001
10.58,4.22,70.30,9,2001
5.13,4.13,62.13,10,2001
-2.90,5.45,36.73,11,2001
-10.13,3.58,21.65,12,2001
-7.80,4.15,47.93,1,2002
-4.00,4.79,41.50,2,2002
-3.10,3.72,28.03,3,2002
3.88,3.31,14.25,4,2002
10.03,3.63,26.93,5,2002
15.35,3.57,81.33,6,2002
17.80,3.65,84.98,7,2002
16.85,3.34,27.68,8,2002
8.75,4.16,29.30,9,2002
-0.58,4.00,21.33,10,2002
-6.68,3.74,45.03,11,2002
-11.48,3.73,15.15,12,2002
-14.48,3.64,42.33,1,2003
-6.68,4.09,11.88,2,2003
-1.73,5.04,14.70,3,2003
0.78,3.91,20.53,4,2003
8.85,3.87,75.18,5,2003
12.30,3.55,53.23,6,2003
19.77,3.30,59.45,7,2003
14.53,3.90,68.70,8,2003
9.67,4.29,35.90,9,2003
2.37,4.46,59.60,10,2003
0.15,4.17,44.28,11,2003
-4.53,5.51,49.43,12,2003
-8.50,3.84,31.65,1,2004
-7.43,3.96,35.40,2,2004
-2.98,3.45,28.15,3,2004
3.00,3.27,7.38,4,2004
8.35,3.86,60.78,5,2004
12.30,3.92,62.88,6,2004
16.33,3.65,123.08,7,2004
14.85,3.82,88.35,8,2004
10.58,4.69,91.88,9,2004
3.70,3.94,37.60,10,2004
-2.80,5.03,49.48,11,2004
-3.08,4.89,61.55,12,2004
-3.68,4.91,66.70,1,2005
-7.05,4.62,14.98,2,2005
-7.53,3.73,6.28,3,2005
2.95,3.66,21.63,4,2005
8.03,4.39,61.40,5,2005
14.00,4.05,57.40,6,2005
17.83,3.49,82.10,7,2005
15.38,4.53,126.38,8,2005
10.63,4.90,36.90,9,2005
5.68,5.00,23.43,10,2005
2.48,5.08,73.08,11,2005
-6.23,4.01,38.30,12,2005
